stay_id,stay_added,start_date,end_date,duration,pet_total,service_type,owner_id,sitter_id,new_to_rover,booking_total_usd,postal_code
313483,2015-10-01 7:04:34,2015-10-01,2015-10-02,1,2,overnight-boarding,1047960,771189,1,52.5,85281
458876,2015-10-01 7:39:24,2015-10-05,2015-10-05,1,2,overnight-traveling,945258,707207,0,20,37217
312716,2015-10-01 7:59:38,2015-10-01,2015-10-05,4,1,overnight-boarding,994185,728484,0,140,90004
307075,2015-10-01 8:11:50,2015-10-09,2015-10-11,2,1,overnight-boarding,1033451,958781,1,42,98005
458892,2015-10-01 8:53:51,2015-10-03,2015-10-09,6,1,overnight-traveling,850450,938868,0,168,92123
311474,2015-10-01 8:55:27,2015-10-08,2015-10-10,2,1,overnight-boarding,524875,218691,0,70,97233
458410,2015-10-01 9:05:22,2015-09-29,2015-10-02,3,1,overnight-traveling,717102,202046,0,100,98664
312686,2015-10-01 9:13:46,2015-10-03,2015-10-04,1,2,overnight-boarding,621267,483459,0,50,43606
263236,2015-10-01 9:15:23,2015-12-26,2016-01-03,8,1,overnight-boarding,910815,355934,1,320,30338
313408,2015-10-01 9:57:04,2015-10-01,2015-10-02,1,1,overnight-boarding,1043571,949499,0,30,75006
313509,2015-10-01 10:58:51,2015-10-09,2015-10-12,3,1,overnight-boarding,185870,353283,0,90,19038
312745,2015-10-01 11:03:29,2015-10-01,2015-10-04,3,1,overnight-boarding,1021168,301811,0,90,78249
312426,2015-10-01 11:06:32,2015-10-02,2015-10-04,2,1,overnight-boarding,657533,948655,0,36,15234
458705,2015-10-01 11:10:11,2015-10-02,2015-10-04,2,1,overnight-traveling,189998,97593,0,60,63139
307453,2015-10-01 11:10:48,2015-10-08,2015-10-12,4,1,overnight-boarding,407279,3331,0,104,80223
310933,2015-10-01 11:19:10,2015-10-02,2015-10-04,2,1,overnight-boarding,988700,951594,0,44,37216
313513,2015-10-01 11:26:43,2015-09-30,2015-10-03,3,2,overnight-boarding,1033850,780620,0,100.8,32839
313419,2015-10-01 11:27:51,2015-10-08,2015-10-12,4,1,overnight-boarding,425832,287607,0,168,89104
458035,2015-10-01 11:34:27,2015-10-02,2015-10-05,3,2,overnight-traveling,20178,1000093,0,90,79915
458871,2015-10-01 11:37:04,2015-10-17,2015-10-18,1,1,overnight-traveling,1047544,857500,1,20,33432
311079,2015-10-01 11:42:15,2015-10-03,2015-10-04,1,1,overnight-boarding,476072,844220,0,0,29404
313230,2015-10-01 11:49:51,2015-10-10,2015-10-11,1,1,overnight-boarding,624935,598085,0,19,46236
458431,2015-10-01 11:54:54,2015-09-30,2015-10-01,1,1,overnight-traveling,962853,717352,0,46.99,11201
313514,2015-10-01 12:05:59,2015-10-03,2015-10-04,1,1,overnight-boarding,230938,407447,0,30,77373
308946,2015-10-01 12:08:06,2015-10-08,2015-10-11,3,1,overnight-boarding,386520,363110,0,120,94506
312995,2015-10-01 12:11:48,2015-11-20,2015-11-28,8,2,overnight-boarding,1046553,427327,1,480,60634
313516,2015-10-01 12:14:03,2015-10-07,2015-10-09,2,1,overnight-boarding,1048060,678200,1,63,20007
313371,2015-10-01 12:16:08,2015-09-30,2015-10-02,2,1,overnight-boarding,864386,655661,0,70,92104
313521,2015-10-01 12:16:38,2015-10-01,2015-10-03,2,2,overnight-boarding,823111,759503,0,80,77840
313300,2015-10-01 12:21:17,2015-10-29,2015-10-30,1,1,overnight-boarding,661264,581843,0,28,27526
312985,2015-10-01 12:25:07,2015-10-24,2015-10-25,1,1,overnight-boarding,1047083,735256,1,36.75,14450
311454,2015-10-01 12:25:56,2015-10-11,2015-10-14,3,1,overnight-boarding,692103,624973,0,75,96818
312572,2015-10-01 12:28:03,2015-10-02,2015-10-04,2,1,overnight-boarding,457753,550726,0,56,32246
458719,2015-10-01 12:34:07,2015-10-23,2015-10-25,2,2,overnight-traveling,522383,14058,0,0,77083
458947,2015-10-01 12:34:13,2015-11-06,2015-11-07,1,2,overnight-traveling,137569,846637,0,0,20744
312510,2015-10-01 12:35:52,2015-10-23,2015-10-25,2,1,overnight-boarding,937546,786726,0,54,32803
458946,2015-10-01 12:36:57,2015-11-20,2015-11-22,2,2,overnight-traveling,137569,846637,0,0,20744
312211,2015-10-01 12:37:19,2015-10-01,2015-10-04,3,1,overnight-boarding,335584,812651,0,90,77489
458945,2015-10-01 12:37:26,2015-10-09,2015-10-10,1,2,overnight-traveling,137569,846637,0,25,20744
312286,2015-10-01 12:38:27,2015-10-03,2015-10-05,2,2,overnight-boarding,765385,677690,0,100,66061
458944,2015-10-01 12:39:23,2015-10-17,2015-10-24,7,2,overnight-traveling,137569,846637,0,140,20744
311317,2015-10-01 12:39:25,2015-10-23,2015-10-25,2,1,overnight-boarding,1042844,120924,1,70,53004
313515,2015-10-01 12:39:34,2015-10-03,2015-10-04,1,1,overnight-boarding,177434,28791,0,40,2038
313224,2015-10-01 12:40:08,2015-10-01,2015-10-02,1,1,overnight-boarding,210660,697255,0,25,30312
271226,2015-10-01 12:40:11,2015-10-13,2015-10-18,5,3,overnight-boarding,958813,774951,1,400,78028
310293,2015-10-01 12:40:15,2015-10-02,2015-10-04,2,2,overnight-boarding,1041743,442107,1,127.98,18013
311711,2015-10-01 12:40:47,2015-11-08,2015-11-10,2,1,overnight-boarding,719274,624973,0,44,96818
312208,2015-10-01 12:41:14,2015-11-26,2015-11-27,1,1,overnight-boarding,762963,1030688,1,29,21202
458942,2015-10-01 12:41:26,2015-11-24,2015-11-28,4,3,overnight-traveling,1044571,350237,0,210,32303
